Employee_ID,Name,Department,Role_Title,Age,Gender,Tenure_Years,Engagement_Score,Workload_Score,Exit_Interview_Feedback,Reason_For_Turnover,Knowledge_Dependency_Level,Key_Project_Participation,Productivity_Impact_Score,Performance_Score,Internal_Mobility_Participation,Learning_Development_Plan,Remote_Work_Status,Flexibility_Satisfaction,Recognition_Received,Predicted_Turnover_Risk,Retention_Action_Taken,Last_Engagement_Check,Voluntary_Turnover
1026,Employee_1026,Sales,Executive,22,Female,6.6,0.42,0.75,Cultural Issues,Personal Reasons,Medium,TRUE,1,4.9,TRUE,FALSE,FALSE,10,7,Medium,Mentorship,1/26/2024,FALSE
1027,Employee_1027,Marketing,Senior Developer,51,Non-binary,17.6,0.92,0.61,Lack of Growth,Burnout,Medium,TRUE,2,4.2,FALSE,TRUE,TRUE,7,3,Medium,Training,1/27/2024,FALSE
1028,Employee_1028,IT,Executive,54,Male,7.3,1,0.36,Work-Life Balance,Burnout,Medium,FALSE,10,2.9,FALSE,TRUE,FALSE,6,1,Low,Training,1/28/2024,TRUE
1029,Employee_1029,IT,Executive,45,Female,11.5,0.94,0.56,Better Opportunity,Personal Reasons,High,TRUE,1,2.6,FALSE,FALSE,FALSE,7,1,High,Mentorship,1/29/2024,FALSE
1030,Employee_1030,HR,Senior Developer,35,Non-binary,9,0.82,1,Lack of Growth,Burnout,High,TRUE,10,4.6,TRUE,TRUE,FALSE,9,1,Low,Mentorship,1/30/2024,FALSE
1031,Employee_1031,HR,Manager,57,Female,9.4,0.85,0.33,Cultural Issues,Personal Reasons,Medium,FALSE,5,4.7,TRUE,TRUE,TRUE,9,13,Low,Mentorship,1/31/2024,FALSE
1032,Employee_1032,Finance,Senior Developer,26,Male,19.4,0.66,0.79,Lack of Growth,Compensation,Medium,TRUE,2,4.5,FALSE,TRUE,FALSE,8,10,Medium,Mentorship,2/1/2024,TRUE
1033,Employee_1033,Marketing,Senior Developer,32,Female,6.3,0.35,0.89,Better Opportunity,Personal Reasons,High,FALSE,1,4.2,FALSE,FALSE,FALSE,6,11,High,Mentorship,2/2/2024,TRUE
1034,Employee_1034,Marketing,Lead,45,Female,12.7,0.74,0.75,Better Opportunity,Burnout,High,TRUE,8,3,FALSE,TRUE,FALSE,6,13,Medium,Mentorship,2/3/2024,FALSE
1035,Employee_1035,Operations,Senior Developer,52,Female,8.7,0.77,0.7,Lack of Growth,Compensation,Medium,TRUE,7,3.5,TRUE,FALSE,FALSE,7,12,Medium,Training,2/4/2024,FALSE
1036,Employee_1036,Operations,Manager,34,Female,1.7,0.99,0.8,Work-Life Balance,Personal Reasons,Low,FALSE,4,4.7,TRUE,FALSE,FALSE,7,14,Low,Promotion Offered,2/5/2024,TRUE
1037,Employee_1037,Operations,Lead,37,Non-binary,10,0.63,0.6,Burnout,Personal Reasons,Medium,FALSE,8,2.4,FALSE,FALSE,TRUE,9,12,Low,Promotion Offered,2/6/2024,TRUE
1038,Employee_1038,HR,Analyst,45,Male,16.4,0.42,0.36,Work-Life Balance,Compensation,High,FALSE,4,3.5,TRUE,TRUE,TRUE,8,9,Medium,Promotion Offered,2/7/2024,TRUE
1039,Employee_1039,Marketing,Analyst,34,Non-binary,2.4,0.75,0.97,Better Opportunity,Better Opportunity,Low,FALSE,4,3.1,FALSE,FALSE,FALSE,5,11,Low,Training,2/8/2024,FALSE
1040,Employee_1040,Marketing,Executive,45,Female,1.9,0.98,0.6,Management Conflict,Burnout,Medium,FALSE,10,4,TRUE,TRUE,FALSE,7,7,Low,Mentorship,2/9/2024,FALSE
1041,Employee_1041,IT,Executive,47,Female,3.5,0.34,0.77,Management Conflict,Better Opportunity,High,FALSE,10,3.9,FALSE,TRUE,FALSE,6,5,High,Salary Adjustment,2/10/2024,TRUE
1042,Employee_1042,HR,Manager,23,Male,15.4,0.46,0.67,Work-Life Balance,Compensation,High,TRUE,3,3.7,TRUE,FALSE,FALSE,10,0,High,Mentorship,2/11/2024,FALSE
1043,Employee_1043,Sales,Intern,37,Male,14.6,0.63,0.34,Management Conflict,Compensation,High,TRUE,2,2.8,FALSE,FALSE,FALSE,7,11,Medium,None,2/12/2024,TRUE
1044,Employee_1044,HR,Analyst,59,Non-binary,11.5,0.34,0.97,Work-Life Balance,Relocation,Medium,FALSE,9,2.5,FALSE,FALSE,TRUE,8,12,High,Mentorship,2/13/2024,FALSE
1045,Employee_1045,Sales,Executive,22,Non-binary,9.6,0.22,0.85,Cultural Issues,Relocation,Medium,TRUE,8,4.4,FALSE,FALSE,FALSE,6,9,Medium,Promotion Offered,2/14/2024,FALSE
1046,Employee_1046,IT,Analyst,32,Male,17.8,0.47,0.4,Work-Life Balance,Compensation,Low,TRUE,3,5,TRUE,TRUE,TRUE,10,3,High,Mentorship,2/15/2024,TRUE
1047,Employee_1047,Finance,Manager,56,Non-binary,15.5,0.89,0.99,Cultural Issues,Relocation,High,FALSE,6,2.5,FALSE,FALSE,TRUE,10,2,Low,Mentorship,2/16/2024,TRUE
1048,Employee_1048,Marketing,Manager,50,Female,16.3,0.23,0.82,Burnout,Personal Reasons,High,TRUE,4,2.2,FALSE,TRUE,TRUE,8,9,Low,None,2/17/2024,TRUE
1049,Employee_1049,IT,Intern,58,Female,16.4,0.54,0.63,Better Opportunity,Better Opportunity,Low,FALSE,6,4.2,FALSE,FALSE,FALSE,6,10,Medium,Salary Adjustment,2/18/2024,FALSE
1050,Employee_1050,Marketing,Intern,38,Male,13,0.81,0.73,Management Conflict,Compensation,Medium,FALSE,7,3,FALSE,FALSE,TRUE,7,13,High,Salary Adjustment,2/19/2024,TRUE
1051,Employee_1051,Operations,Lead,49,Non-binary,9.4,0.96,0.37,Burnout,Personal Reasons,High,FALSE,7,2.6,TRUE,TRUE,FALSE,8,6,Low,Promotion Offered,2/20/2024,TRUE
1052,Employee_1052,Finance,Manager,50,Female,17.4,0.99,0.69,Burnout,Burnout,Low,FALSE,9,3.6,TRUE,TRUE,TRUE,9,9,Medium,Salary Adjustment,2/21/2024,TRUE
1053,Employee_1053,Finance,Executive,24,Male,18.6,0.54,0.35,Better Opportunity,Burnout,High,FALSE,5,4,FALSE,TRUE,FALSE,6,4,High,Promotion Offered,2/22/2024,TRUE
1054,Employee_1054,IT,Analyst,31,Non-binary,1,0.96,0.68,Lack of Growth,Relocation,Medium,FALSE,4,2.6,TRUE,TRUE,TRUE,8,0,Low,Training,2/23/2024,FALSE
1055,Employee_1055,Finance,Senior Developer,35,Female,1.5,0.23,0.69,Lack of Growth,Relocation,Medium,FALSE,10,5,FALSE,FALSE,TRUE,8,11,High,None,2/24/2024,TRUE
1056,Employee_1056,Sales,Intern,33,Non-binary,19.2,0.8,0.91,Burnout,Personal Reasons,Low,FALSE,1,3,TRUE,FALSE,FALSE,5,5,Medium,Mentorship,2/25/2024,FALSE
1057,Employee_1057,Finance,Senior Developer,51,Non-binary,5.9,0.71,0.81,Burnout,Burnout,Low,TRUE,7,2.9,FALSE,FALSE,FALSE,5,3,Medium,None,2/26/2024,TRUE
1058,Employee_1058,Marketing,Executive,53,Non-binary,17.5,0.4,0.47,Better Opportunity,Compensation,High,FALSE,4,3.3,FALSE,TRUE,TRUE,10,9,Medium,Salary Adjustment,2/27/2024,TRUE
1059,Employee_1059,Marketing,Intern,53,Male,8.1,0.61,0.92,Work-Life Balance,Better Opportunity,Medium,TRUE,7,4.2,FALSE,FALSE,FALSE,7,14,Low,Mentorship,2/28/2024,TRUE
1060,Employee_1060,Marketing,Senior Developer,53,Female,2.8,0.3,0.7,Work-Life Balance,Relocation,Medium,FALSE,5,4.6,FALSE,TRUE,TRUE,9,14,Medium,None,2/29/2024,FALSE
1061,Employee_1061,Marketing,Executive,47,Male,2.1,0.9,0.72,Management Conflict,Personal Reasons,Low,TRUE,7,3,FALSE,TRUE,TRUE,9,5,High,None,3/1/2024,FALSE
1062,Employee_1062,Sales,Analyst,22,Female,3.6,0.49,0.42,Better Opportunity,Relocation,Low,FALSE,0,2.4,FALSE,FALSE,FALSE,8,6,Low,Promotion Offered,3/2/2024,FALSE
1063,Employee_1063,HR,Executive,23,Female,5.4,0.7,0.9,Lack of Growth,Personal Reasons,High,FALSE,8,2.8,TRUE,TRUE,FALSE,8,8,Medium,Training,3/3/2024,TRUE
1064,Employee_1064,Operations,Lead,38,Male,10,0.33,0.95,Better Opportunity,Burnout,Medium,TRUE,8,2.3,TRUE,TRUE,FALSE,10,0,Medium,None,3/4/2024,TRUE
1065,Employee_1065,IT,Intern,51,Male,14.2,0.36,0.84,Better Opportunity,Relocation,High,TRUE,2,3.9,TRUE,TRUE,FALSE,8,5,Low,Mentorship,3/5/2024,TRUE
1066,Employee_1066,Marketing,Manager,28,Female,19.7,0.99,0.96,Management Conflict,Personal Reasons,High,FALSE,4,4.2,FALSE,TRUE,TRUE,6,12,Medium,Training,3/6/2024,TRUE
1067,Employee_1067,Finance,Analyst,48,Female,9.1,0.8,0.51,Work-Life Balance,Personal Reasons,Low,FALSE,6,3.3,TRUE,TRUE,TRUE,7,10,High,Training,3/7/2024,TRUE
1068,Employee_1068,Marketing,Senior Developer,30,Female,10.6,0.97,0.9,Burnout,Relocation,Medium,TRUE,7,4.9,FALSE,TRUE,TRUE,7,7,Low,Mentorship,3/8/2024,TRUE
1069,Employee_1069,Finance,Intern,43,Non-binary,10.7,0.44,0.64,Lack of Growth,Better Opportunity,Low,FALSE,6,4.2,TRUE,FALSE,FALSE,5,3,High,Training,3/9/2024,FALSE
1070,Employee_1070,Operations,Manager,55,Female,11,0.33,0.41,Management Conflict,Compensation,High,TRUE,2,3.1,FALSE,TRUE,TRUE,10,9,High,Salary Adjustment,3/10/2024,FALSE
1071,Employee_1071,Operations,Executive,22,Male,10.6,0.6,0.77,Lack of Growth,Burnout,High,FALSE,6,2.3,TRUE,FALSE,FALSE,8,8,Medium,Training,3/11/2024,FALSE
1072,Employee_1072,Operations,Manager,30,Male,0.7,0.6,0.78,Lack of Growth,Relocation,Medium,FALSE,0,3.5,FALSE,TRUE,TRUE,8,3,Low,Promotion Offered,3/12/2024,TRUE
1073,Employee_1073,Finance,Intern,41,Male,0.5,0.34,0.5,Work-Life Balance,Relocation,Medium,TRUE,4,3.5,TRUE,FALSE,FALSE,6,3,Medium,Training,3/13/2024,TRUE
1074,Employee_1074,Marketing,Intern,40,Female,2.4,0.79,0.32,Burnout,Better Opportunity,Medium,FALSE,8,3.7,FALSE,FALSE,TRUE,8,11,High,None,3/14/2024,TRUE
1075,Employee_1075,Operations,Lead,57,Female,2.5,0.49,0.44,Burnout,Burnout,Medium,FALSE,1,4,TRUE,FALSE,FALSE,8,13,Medium,Training,3/15/2024,FALSE
1076,Employee_1076,Sales,Lead,25,Non-binary,14.2,0.35,0.58,Work-Life Balance,Relocation,Low,FALSE,2,2.8,FALSE,TRUE,FALSE,7,8,Medium,Promotion Offered,3/16/2024,TRUE
1077,Employee_1077,Finance,Manager,30,Non-binary,4.5,0.47,0.42,Management Conflict,Better Opportunity,Low,TRUE,8,2,TRUE,FALSE,TRUE,8,12,High,Promotion Offered,3/17/2024,TRUE
1078,Employee_1078,Finance,Executive,43,Male,17.9,0.65,0.44,Cultural Issues,Compensation,Low,FALSE,2,4.4,TRUE,FALSE,FALSE,10,3,Medium,Training,3/18/2024,FALSE
1079,Employee_1079,Marketing,Manager,39,Non-binary,18.6,0.78,0.57,Management Conflict,Personal Reasons,Low,TRUE,7,4.5,TRUE,FALSE,FALSE,6,8,High,Salary Adjustment,3/19/2024,TRUE
1080,Employee_1080,Finance,Intern,33,Non-binary,19.5,0.59,0.97,Management Conflict,Compensation,High,TRUE,5,4.7,TRUE,FALSE,TRUE,6,0,Low,Training,3/20/2024,FALSE
1081,Employee_1081,Finance,Intern,30,Male,18.8,0.62,0.83,Cultural Issues,Compensation,Low,TRUE,6,4.9,TRUE,FALSE,TRUE,9,7,High,Mentorship,3/21/2024,TRUE
1082,Employee_1082,Operations,Senior Developer,27,Female,5.8,0.31,0.52,Lack of Growth,Compensation,Low,TRUE,4,2.5,TRUE,TRUE,FALSE,9,1,Low,Promotion Offered,3/22/2024,TRUE
1083,Employee_1083,Marketing,Lead,40,Non-binary,10.4,0.93,0.97,Better Opportunity,Compensation,Medium,FALSE,9,3.1,FALSE,TRUE,TRUE,5,7,High,Training,3/23/2024,TRUE
1084,Employee_1084,Operations,Senior Developer,28,Female,3.9,0.94,0.75,Cultural Issues,Personal Reasons,High,TRUE,6,4.6,TRUE,TRUE,TRUE,6,4,High,Salary Adjustment,3/24/2024,FALSE
1085,Employee_1085,Operations,Analyst,37,Male,16.2,0.75,0.62,Better Opportunity,Burnout,Low,TRUE,9,4.8,FALSE,FALSE,FALSE,10,12,Medium,Salary Adjustment,3/25/2024,TRUE
1086,Employee_1086,Marketing,Intern,26,Male,17.8,0.21,0.63,Lack of Growth,Burnout,High,FALSE,10,2,TRUE,FALSE,TRUE,6,12,Low,Salary Adjustment,3/26/2024,FALSE
1087,Employee_1087,IT,Senior Developer,37,Non-binary,17.1,0.63,0.59,Cultural Issues,Better Opportunity,High,FALSE,9,3.2,FALSE,TRUE,TRUE,10,13,High,None,3/27/2024,FALSE
1088,Employee_1088,Operations,Manager,22,Male,9,0.7,0.46,Work-Life Balance,Better Opportunity,High,TRUE,2,2.3,TRUE,FALSE,TRUE,10,0,Medium,None,3/28/2024,FALSE
1089,Employee_1089,Sales,Lead,58,Male,15.3,1,0.57,Management Conflict,Relocation,High,TRUE,10,4.4,FALSE,FALSE,TRUE,7,0,Medium,None,3/29/2024,TRUE
1090,Employee_1090,Sales,Lead,40,Male,2.4,1,0.67,Cultural Issues,Compensation,Medium,FALSE,4,4.2,FALSE,FALSE,FALSE,9,12,Low,Mentorship,3/30/2024,FALSE
1091,Employee_1091,Finance,Executive,58,Non-binary,1.3,0.89,0.67,Cultural Issues,Compensation,Medium,FALSE,5,4.3,FALSE,FALSE,TRUE,10,5,Medium,Mentorship,3/31/2024,FALSE
1092,Employee_1092,Sales,Manager,38,Non-binary,15.2,0.25,0.83,Lack of Growth,Personal Reasons,High,FALSE,8,3.2,TRUE,FALSE,FALSE,5,0,Medium,Training,4/1/2024,TRUE
1093,Employee_1093,Finance,Executive,47,Non-binary,8.8,0.96,0.55,Work-Life Balance,Compensation,High,TRUE,3,3.2,TRUE,FALSE,TRUE,7,12,High,None,4/2/2024,TRUE
1094,Employee_1094,IT,Senior Developer,43,Male,19.9,0.69,0.8,Cultural Issues,Personal Reasons,High,TRUE,7,2.8,TRUE,TRUE,TRUE,10,1,Low,None,4/3/2024,TRUE
1095,Employee_1095,Marketing,Analyst,29,Female,2.4,0.84,0.7,Work-Life Balance,Relocation,Medium,TRUE,7,3.1,FALSE,FALSE,FALSE,7,10,Low,Mentorship,4/4/2024,FALSE
1096,Employee_1096,Marketing,Manager,54,Male,17.2,0.53,0.97,Better Opportunity,Better Opportunity,Medium,FALSE,9,4.9,TRUE,FALSE,TRUE,9,13,Low,Salary Adjustment,4/5/2024,TRUE
1097,Employee_1097,Marketing,Manager,23,Non-binary,9.9,0.46,0.57,Cultural Issues,Better Opportunity,High,TRUE,5,2.1,FALSE,TRUE,TRUE,7,14,Low,Salary Adjustment,4/6/2024,FALSE
1098,Employee_1098,Sales,Manager,51,Female,16.6,0.57,0.93,Work-Life Balance,Relocation,High,TRUE,7,3,TRUE,TRUE,FALSE,9,2,Medium,Promotion Offered,4/7/2024,FALSE
1099,Employee_1099,IT,Executive,41,Female,16.4,0.32,0.87,Management Conflict,Relocation,High,FALSE,4,4.4,FALSE,TRUE,TRUE,6,14,Low,Training,4/8/2024,FALSE
1100,Employee_1100,Sales,Senior Developer,39,Non-binary,18.4,0.49,0.75,Lack of Growth,Compensation,High,TRUE,0,3.1,TRUE,TRUE,TRUE,6,10,Medium,Training,4/9/2024,TRUE
1101,Employee_1101,Sales,Manager,31,Female,6.3,0.89,0.76,Burnout,Better Opportunity,Medium,FALSE,3,4.8,TRUE,TRUE,FALSE,9,10,Medium,None,4/10/2024,TRUE
1102,Employee_1102,IT,Manager,45,Female,19,0.23,0.36,Work-Life Balance,Burnout,Low,FALSE,10,3,TRUE,TRUE,TRUE,10,1,Medium,Mentorship,4/11/2024,TRUE
1103,Employee_1103,IT,Lead,25,Non-binary,3.5,0.32,0.97,Lack of Growth,Relocation,Low,FALSE,5,4.5,FALSE,TRUE,TRUE,8,8,Medium,Training,4/12/2024,TRUE
1104,Employee_1104,IT,Analyst,58,Female,2.1,0.3,0.37,Burnout,Better Opportunity,Medium,FALSE,8,4.4,FALSE,FALSE,TRUE,8,9,Low,Salary Adjustment,4/13/2024,TRUE
1105,Employee_1105,IT,Lead,25,Female,8.9,0.52,0.69,Cultural Issues,Better Opportunity,Medium,TRUE,3,2,TRUE,TRUE,FALSE,5,11,Medium,Mentorship,4/14/2024,FALSE
1106,Employee_1106,Marketing,Lead,34,Non-binary,16.7,1,0.53,Cultural Issues,Personal Reasons,Low,TRUE,5,3.2,TRUE,TRUE,TRUE,8,5,High,None,4/15/2024,TRUE
1107,Employee_1107,HR,Analyst,46,Female,9.7,0.34,0.6,Better Opportunity,Better Opportunity,Low,FALSE,9,2.8,FALSE,TRUE,FALSE,5,8,High,None,4/16/2024,TRUE
1108,Employee_1108,HR,Senior Developer,34,Female,16.7,0.32,0.73,Lack of Growth,Relocation,Low,TRUE,10,3.4,FALSE,TRUE,FALSE,9,4,High,Training,4/17/2024,TRUE
1109,Employee_1109,IT,Lead,39,Female,14.7,0.93,0.94,Management Conflict,Compensation,High,TRUE,4,3.4,TRUE,FALSE,FALSE,10,3,High,Training,4/18/2024,FALSE
1110,Employee_1110,HR,Senior Developer,45,Female,4.6,0.91,0.62,Management Conflict,Better Opportunity,Low,FALSE,8,4.7,TRUE,FALSE,FALSE,9,11,Medium,Promotion Offered,4/19/2024,TRUE
1111,Employee_1111,HR,Lead,23,Non-binary,19,0.23,0.99,Work-Life Balance,Burnout,Low,TRUE,9,2.6,TRUE,FALSE,FALSE,9,13,High,Training,4/20/2024,FALSE
1112,Employee_1112,IT,Intern,54,Male,1.7,0.8,0.71,Management Conflict,Relocation,High,FALSE,5,2.5,FALSE,FALSE,TRUE,5,1,High,Training,4/21/2024,FALSE
1113,Employee_1113,HR,Analyst,40,Male,18,0.72,0.41,Burnout,Compensation,High,TRUE,2,2.3,FALSE,TRUE,FALSE,7,3,Medium,Salary Adjustment,4/22/2024,TRUE
1114,Employee_1114,Sales,Lead,30,Female,6.4,0.81,0.43,Lack of Growth,Compensation,Medium,TRUE,1,4.2,TRUE,FALSE,FALSE,5,7,Low,Salary Adjustment,4/23/2024,TRUE
1115,Employee_1115,Finance,Intern,49,Non-binary,10.3,0.6,0.8,Cultural Issues,Relocation,High,FALSE,2,4.8,FALSE,TRUE,TRUE,10,1,Low,Mentorship,4/24/2024,FALSE
1116,Employee_1116,Finance,Executive,56,Non-binary,8.7,0.99,0.34,Lack of Growth,Compensation,Low,FALSE,5,3.1,TRUE,FALSE,TRUE,10,11,Low,Training,4/25/2024,TRUE
1117,Employee_1117,IT,Intern,31,Female,3.9,0.24,0.64,Lack of Growth,Burnout,High,FALSE,9,2.2,TRUE,FALSE,FALSE,7,7,Low,Training,4/26/2024,FALSE
1118,Employee_1118,Marketing,Manager,22,Male,7.5,0.39,0.4,Cultural Issues,Better Opportunity,Medium,TRUE,7,2.5,FALSE,TRUE,FALSE,6,1,Medium,None,4/27/2024,FALSE
1119,Employee_1119,IT,Lead,42,Female,4.3,0.52,0.6,Burnout,Relocation,Low,TRUE,7,2.3,TRUE,TRUE,FALSE,6,0,Medium,Salary Adjustment,4/28/2024,TRUE
1120,Employee_1120,Marketing,Intern,30,Non-binary,4.5,0.56,0.82,Lack of Growth,Better Opportunity,Medium,TRUE,4,3.8,TRUE,FALSE,TRUE,7,3,Low,None,4/29/2024,FALSE
1121,Employee_1121,Finance,Senior Developer,36,Non-binary,4.1,0.94,0.62,Management Conflict,Better Opportunity,Medium,FALSE,0,2.8,TRUE,FALSE,TRUE,10,6,High,Training,4/30/2024,TRUE
1122,Employee_1122,IT,Executive,56,Male,10,0.65,0.41,Work-Life Balance,Compensation,Medium,TRUE,0,4.7,FALSE,FALSE,FALSE,7,1,Medium,Salary Adjustment,5/1/2024,FALSE
1123,Employee_1123,Operations,Lead,26,Non-binary,16.1,0.24,0.48,Work-Life Balance,Relocation,High,FALSE,6,2.5,TRUE,FALSE,FALSE,8,10,High,Training,5/2/2024,FALSE
1124,Employee_1124,Sales,Manager,43,Non-binary,11.6,0.53,0.56,Lack of Growth,Better Opportunity,High,FALSE,1,4.8,FALSE,FALSE,TRUE,7,2,High,Promotion Offered,5/3/2024,FALSE
1125,Employee_1125,HR,Intern,44,Non-binary,17.9,0.53,0.35,Burnout,Personal Reasons,Medium,FALSE,3,3,FALSE,TRUE,FALSE,7,11,High,None,5/4/2024,TRUE
1126,Employee_1126,Marketing,Executive,28,Male,12.9,0.97,0.71,Cultural Issues,Burnout,Medium,TRUE,9,4.6,TRUE,FALSE,TRUE,9,5,Low,Salary Adjustment,5/5/2024,FALSE
1127,Employee_1127,Operations,Lead,44,Non-binary,13.9,0.68,0.73,Better Opportunity,Compensation,Medium,FALSE,4,4.8,FALSE,FALSE,FALSE,5,1,Low,Salary Adjustment,5/6/2024,FALSE
1128,Employee_1128,HR,Executive,46,Female,13.5,0.71,0.34,Burnout,Relocation,Medium,TRUE,7,5,TRUE,FALSE,FALSE,7,8,Low,Training,5/7/2024,TRUE
1129,Employee_1129,HR,Manager,48,Male,9.3,0.77,0.58,Lack of Growth,Relocation,High,FALSE,9,4.4,FALSE,TRUE,FALSE,9,14,High,Training,5/8/2024,FALSE
1130,Employee_1130,IT,Intern,27,Female,13.9,0.82,0.59,Lack of Growth,Compensation,High,FALSE,8,2.3,FALSE,FALSE,TRUE,7,5,High,Mentorship,5/9/2024,FALSE
1131,Employee_1131,HR,Executive,55,Female,1.9,0.71,0.53,Better Opportunity,Better Opportunity,Medium,TRUE,0,2.2,TRUE,TRUE,TRUE,8,5,Medium,Mentorship,5/10/2024,TRUE
